"X1","X2","X3","mid_lon","mid_lat","mid_dist"
57,117,172,-95.4771929333333,47.1096815666667,0.467798114152533
39,83,216,-94.4884151666667,47.8361145,0.467700218201824
39,76,94,-94.5856563,47.8499064333333,0.467044086128902
83,88,207,-93.9630092333334,47.3788775666667,0.466023598730871
39,118,208,-94.1414679,47.3704078333333,0.464104631132183
76,172,214,-95.3686602333333,47.8411872,0.464015232619128
29,115,130,-96.3772316,45.8526968666667,0.463573207477211
29,114,130,-96.3850201666667,45.8500548333333,0.46236409697776
29,74,133,-96.1883388333333,46.041462,0.461134347575946
76,154,172,-95.3091259,47.7126057333333,0.460249624263985
83,88,216,-93.6785542666667,47.6461817333333,0.460081139551852
69,208,210,-92.0283672333333,47.4822637333333,0.459456908785629
69,208,211,-92.0283672333333,47.4822637333333,0.459456908785629
148,151,215,-95.3773269,47.2388028333333,0.458216881020718
15,39,172,-95.094224,47.9082716333333,0.458055112477453
76,145,215,-95.3882643666667,47.2923213333333,0.456854953067814
76,172,223,-95.5228885666667,47.1774929333333,0.455902114053506
51,63,74,-96.5638642666667,47.3355067333333,0.455817321317506
29,115,129,-96.3773105666667,45.8622975666667,0.455056907624174
148,172,204,-95.4519341666667,47.1260530333333,0.454230863960383
29,114,129,-96.3850991333333,45.8596555333333,0.453770567572733
76,149,172,-95.4179967,47.2663281333333,0.451138229911152
76,172,222,-95.5324889666667,47.1805113333333,0.448589505194555
15,76,94,-94.6834703333333,47.8868063666667,0.447990445425408
129,130,207,-96.5733390333333,47.2769416,0.447377517722488
57,172,193,-95.5239009,47.1298625333333,0.446296291832013
76,118,151,-95.4031795,47.2916475333333,0.445632265318395
57,79,216,-95.5230559666667,47.1268119,0.444766386527728
89,90,210,-92.8157049666667,46.9769150333333,0.44413567162561
89,90,211,-92.8157049666667,46.9769150333333,0.44413567162561
15,94,118,-94.8168696666667,47.9296409,0.443305130554159
94,210,216,-93.7683257666667,48.3413632666667,0.442835812412606
94,211,216,-93.7683257666667,48.3413632666667,0.442835812412606
1,116,131,-93.2616242333333,46.5312175333333,0.441824121090252
76,172,201,-95.4885642333333,47.2173275,0.440998447684378
39,69,150,-94.1775924333333,47.2815839,0.439722862540642
115,161,192,-95.3339741333333,44.4096291,0.43953301579004
15,52,63,-95.2948291666667,47.3033162,0.439503088364924
15,39,216,-94.9453192666667,47.9303115333333,0.438801111396249
76,193,216,-95.343697,47.4043141333333,0.438439684877017
115,192,229,-95.4978779,44.1074759333333,0.438345259407806
76,118,134,-95.5140938666667,47.2037582666667,0.437889738679508
102,156,210,-92.5255599333333,45.6933853666667,0.437733780285812
102,156,211,-92.5255599333333,45.6933853666667,0.437733780285812
76,148,216,-95.3752219666667,47.8033201333333,0.437686764777481
11,87,118,-96.2990239333333,47.0797779,0.43734436157941
89,94,210,-92.9741622333333,47.8369719666667,0.43718137649693
89,94,211,-92.9741622333333,47.8369719666667,0.43718137649693
76,87,214,-95.5523852666667,47.184534,0.435779594834328
15,51,154,-95.3033694666667,47.3330813666667,0.435356660540762
53,94,106,-93.9554103333333,47.0864240333333,0.43526504704057
