"address","lat","lon","id"
"4431 Grand Ave, Duluth, MN 55807, USA",46.7470807,-92.1579835,"ChIJI0MxnEpMrlIRka4nX1MPISc"
"307 Canal Park Dr, Duluth, MN 55802, USA",46.7841015,-92.0947323,"EigzMDcgQ2FuYWwgUGFyayBEciwgRHVsdXRoLCBNTiA1NTgwMiwgVVNBIhsSGQoUChIJ622YG-tSrlIRy1wCQtJNOXgQswI"
"5692 Miller Trunk Hwy, Duluth, MN 55811, USA",46.8521121,-92.2798612,"ChIJIYze34-1r1IRGOrDn-EqgRQ"
"3385 Denmark Ave, Eagan, MN 55121, USA",44.8342461,-93.1601224,"ChIJqZUkzMct9ocRQIZ2G5pq48c"
"4630 Rahncliff Rd, Eagan, MN 55122, USA",44.7881386,-93.2071179,"ChIJfYn4wccx9ocRP8EE8u3GP-4"
"1412 Central Ave NW, East Grand Forks, MN 56721, USA",47.9390065,-97.0193034,"ChIJEWfPE5uGxlIRcrmJUQg2uxM"
"8251 Flying Cloud Dr Ste 125, Eden Prairie, MN 55344, USA",44.8535857,-93.4250291,"ChIJg4C3tZgY9ocRqZPuo35M1_s"
"16340 Terrey Pine Dr, Eden Prairie, MN 55344, USA",44.8606033,-93.4847526,"ChIJ7fuRh0YZ9ocRYAo_aGHSTbE"
"10 Southdale Center, Edina, MN 55435, USA",44.8806577,-93.3247802,"ChIJmSzCV6Ym9ocRsp5t6VYUFtA"
"7700 Normandale Blvd, Edina, MN 55439, USA",44.8633126,-93.3521393,"ChIJM-dBku4j9ocRGExZSewSib8"
"403 Morton Ave NW, Elk River, MN 55330, USA",45.3056084,-93.5727164,"ChIJ6QSHnjtps1IRQzN9ieJGVjA"
"1441 E Sheridan St, Ely, MN 55731, USA",47.9033764,-91.8446153,"ChIJo4fAIqa6pVIR6fIHSXTOYrs"
"1326 E Blue Earth Ave, Fairmont, MN 56031, USA",43.6518498,-94.4433133,"ChIJS_BlV-F-84cRoWo9RkST_2U"
"309 Lyndale Ave N, Faribault, MN 55021, USA",44.2938539,-93.2894301,"ChIJ7ecixCL39ocRb9mn_m_0d_c"
"4050 MN-60, Faribault, MN 55021, USA",44.2911845,-93.3121782,"ChIJpdsQvsP29ocR-72pYzktJxg"
"705 Willow St, Farmington, MN 55024, USA",44.6442596,-93.1374646,"ChIJlciI5IlK9ocR7kwPpbnfSMc"
"719 E Vernon Ave, Fergus Falls, MN 56537, USA",46.278564,-96.0619611,"ChIJN-6fVH92yVIRUGcOOMpXCM4"
"555 Lake St S, Forest Lake, MN 55025, USA",45.2728876,-92.9828553,"ChIJEZ_j7-7nslIRJt-cFEmaZQg"
"400 1st St E, Fosston, MN 56542, USA",47.5739463,-95.7479918,"EiQ0MDAgMXN0IFN0IEUsIEZvc3N0b24sIE1OIDU2NTQyLCBVU0EiGxIZChQKEgntHKO5hu3HUhEe9hw2kRSqqRCQAw"
"225 Osborne Rd NE, Fridley, MN 55432, USA",45.1068996,-93.2674188,"ChIJmeB5Olcls1IRtHJ5rzSX-70"
"227 10th St E, Glencoe, MN 55336, USA",44.7691936,-94.1586747,"ChIJ1XWhmPuR9YcRLSXVhCXoQFQ"
"243 Minnesota Ave W, Glenwood, MN 56334, USA",45.6500489,-95.3955509,"ChIJWQkgablvylIR2jONGrt4KUY"
"7825 Medicine Lake Rd, Golden Valley, MN 55427, USA",45.0070345,-93.3794616,"ChIJvWl0PjY0s1IRnKoTV86tcSI"
"7724 Olson Memorial Hwy, Golden Valley, MN 55427, USA",44.9844754,-93.3781979,"ChIJmUZMzf40s1IRKU_cIxPr8K4"
"120 MN-61, Grand Marais, MN 55604, USA",47.7516848,-90.3306025,"ChIJjwCVbx3Ap1IRJQis3id8I-o"
"1940 S Pokegama Ave, Grand Rapids, MN 55744, USA",47.2113883,-93.5281238,"ChIJtR4YDyeQsFIRuUQqgY2tztE"
"560 US-212, Granite Falls, MN 56241, USA",44.8062368,-95.5468399,"ChIJDX8bObmciocRvQkPeyt5-TY"
"17650 MN-65, Ham Lake, MN 55304, USA",45.291438,-93.2352351,"ChIJF3YoBiAZs1IRP6_pYs7a-eE"
"1205 Vermillion St, Hastings, MN 55033, USA",44.7344782,-92.8521586,"ChIJk_PnXFHB94cRedertwrynPI"
"1310 Hobart St, Hawley, MN 56549, USA",46.8775963,-96.329617,"ChIJvzqzP_zxyFIRHbSzJpwXihA"
"4703 Mall Dr, Hermantown, MN 55811, USA",46.8134813,-92.1758113,"ChIJ1SLOvTCzr1IRbaEQGwfLrSw"
"615 W 41st St, Hibbing, MN 55746, USA",47.4005017,-92.9492371,"ChIJn2OaDhAKsFIRUHshP53P73A"
"105 Grindstone Ct, Hinckley, MN 55037, USA",46.0123226,-92.9282113,"ChIJv66ELdE8slIRb5bGnBizLro"
"1800 Main St, Hopkins, MN 55343, USA",44.9241853,-93.4230472,"ChIJUT9kFokf9ocRndaREwa7n2Q"
"510 Blake Rd N, Hopkins, MN 55343, USA",44.9336518,-93.3862562,"ChIJ-yZR_WYg9ocRkuFw9UfJ9Dw"
"46 Main St N, Hutchinson, MN 55350, USA",44.893251,-94.3696415,"ChIJOzZCf0SA9YcRc-DGNnpAg24"
"1306 3rd Ave, International Falls, MN 56649, USA",48.5924934,-93.4035831,"ChIJnx35t3R8u1IRmTvCX1NcOEg"
"6655 Cahill Ave, Inver Grove Heights, MN 55076, USA",44.8529316,-93.0453554,"ChIJI-lrnLHT94cR5UfniVdr8tA"
"1021 US-71, Jackson, MN 56143, USA",43.6383928,-94.9959839,"ChIJkfloCjZU84cRXdRANuDoVEs"
"106 E 1st St, Janesville, MN 56048, USA",44.1163795,-93.7067257,"ChIJrQbaDNSd9ocRGVP_1eBQcj8"
"821 N Lakeshore Dr, Lake City, MN 55041, USA",44.4552297,-92.2763314,"ChIJ68A-Eokx-IcRmNjlbkxWBYI"
"232 MN-60, Lake Crystal, MN 56055, USA",44.1104686,-94.2202112,"EiYyMzIgTU4tNjAsIExha2UgQ3J5c3RhbCwgTU4gNTYwNTUsIFVTQSIbEhkKFAoSCTPE5Ki5RPSHETBWkXOmiTHgEOgB"
"10950 175th Ct W, Lakeville, MN 55044, USA",44.6951045,-93.2874055,"ChIJJ4c5GLI59ocRyCaGqpBZGKM"
"4131 Woodland Rd, Circle Pines, MN 55014, USA",45.1392387,-93.1659114,"ChIJW5pFJFcms1IRX1ZoXQTR5bw"
"13105 Lake Blvd, Lindstrom, MN 55045, USA",45.3899791,-92.8410841,"ChIJKUGtahbtslIReY20KBNDWuA"
"2110 Northern Lights Blvd, Lino Lakes, MN 55038, USA",45.1626012,-93.0353686,"ChIJs6348t7bslIRL7477caR7OA"
"625 Apollo Dr, Lino Lakes, MN 55014, USA",45.1841566,-93.1097187,"ChIJIS4OAk3fslIRyZhRc3Ua7z0"
"1009 N Sibley Ave (Hwy 12, Litchfield, MN 55355, United States",45.1381038,-94.5291004,"ChIJl62fqvcjtVIRFJWOYfUKPsI"
"1012 Haven Rd, Little Falls, MN 56345, USA",45.987315,-94.3528389,"ChIJF-diNycltFIRzbu6fyUZSaY"
"710 Commerce Rd, Long Prairie, MN 56347, USA",45.9625705,-94.8648669,"ChIJQ6lN3yfdtVIREUEJFHj2v0A"
"711 8th Ave, Madison, MN 56256, USA",45.0158304,-96.1964095,"ChIJEfOfbtRFy1IRz1kyNmqm_JY"
"850 Wildwood Rd, Mahtomedi, MN 55115, USA",45.0498128,-92.9824175,"ChIJrf6yApzRslIRnFPXhGhy6Ew"
"25 Stoltzman Rd, Mankato, MN 56001, USA",44.1592338,-94.0147369,"ChIJP3ATaMc59IcRtD7iBLexZn0"
"2001 Adams St #100, Mankato, MN 56001, USA",44.1699368,-93.946004,"EioyMDAxIEFkYW1zIFN0ICMxMDAsIE1hbmthdG8sIE1OIDU2MDAxLCBVU0EiHxodChYKFAoSCX1ArQ2IOvSHEY1t6uXAYzdJEgMxMDA"
"13770 83rd Way N, Maple Grove, MN 55369, USA",45.1059664,-93.4554335,"ChIJT5WZJOZHs1IR-rT2JxsWMas"
"819 Century Ave N, Maplewood, MN 55119, USA",44.9661392,-92.9854052,"ChIJv8_nhi7TslIRUWFrNXi0Jbo"
"401 Country Club Dr, Marshall, MN 56258, USA",44.4418739,-95.7950333,"ChIJsYaQCHVZiocROVhPbU7rMJk"
"1206 E College Dr, Marshall, MN 56258, USA",44.4498,-95.7716676,"ChIJqU4Fe_1YiocRrNTi9P9E8PA"
"259 MN-65, McGregor, MN 55760, USA",46.6098175,-93.316104,"ChIJ5QSRsWUIsVIRT5iUMgGgXuo"
"208 Co Rd 173, Melrose, MN 56352, USA",45.6647776,-94.8112476,"ChIJg0j9yNi8tVIRwpCWSeaf68w"
"38 County 12 N, Mentor, MN 56736, USA",47.7024499,-96.1481898,"ChIJld9wmJ6wx1IRepn-xC6xhwk"
"415 10th Ave SE, Milaca, MN 56353, USA",45.7584291,-93.6318243,"ChIJV6-fMm6Rs1IRDpPoZRKJIUE"
"4740 Minnehaha Ave, Minneapolis, MN 55406, USA",44.9172314,-93.2138884,"ChIJ3RZ2pAAp9ocRoprnD1ZaZwk"
"4400 E Lake St, Minneapolis, MN 55406, USA",44.9485521,-93.2099242,"ChIJ2cAV8NAp9ocRfgU0wcWfQhU"
"3747 13th Ave S, Minneapolis, MN 55407, USA",44.9342804,-93.2559464,"ChIJdZoQJ3Uo9ocRn6CyuqQrz0M"
"710 NE Lowry Ave, Minneapolis, MN 55418, USA",45.0129787,-93.2517964,"ChIJKbXlRewts1IRNpcWjw58n90"
"4719 Lyndale Ave N, Minneapolis, MN 55412, USA",45.0408799,-93.287185,"ChIJSc-Rl-wxs1IRCY9aMdG7iLQ"
"6014 Portland Ave S, Minneapolis, MN 55417, USA",44.8937974,-93.2681283,"Ei82MDE0IFBvcnRsYW5kIEF2ZSBTLCBNaW5uZWFwb2xpcywgTU4gNTU0MTcsIFVTQSIbEhkKFAoSCRV5n_oZJvaHEQZyj-uk6y8zEP4u"
"800 Nicollet Mall Fl 2, Minneapolis, MN 55402, United States",44.9756253,-93.2738498,"ChIJe6Jb3ZYys1IRisErpDMXrIg"
"12940 Minnetonka Blvd, Hopkins, MN 55305, USA",44.9416833,-93.4440469,"ChIJ9XMZZdwf9ocR1KTZwG_23BU"
"1110 MN-25, Monticello, MN 55362, USA",45.2946699,-93.8013806,"EiUxMTEwIE1OLTI1LCBNb250aWNlbGxvLCBNTiA1NTM2MiwgVVNBIhsSGQoUChIJVdndeBeetFIRxRkYjkdP8MgQ1gg"
"24 8th St S, Fargo, MN 58102, USA",46.8739319,-96.7675807,"ChIJe1La2D7JyFIRybzqNZXRGO0"
"802 30th Ave S, Moorhead, MN 56560, USA",46.8451298,-96.7673438,"ChIJEzsWGLnOyFIRA5Um_2Di7T8"
"91 Arrowhead Ln, Moose Lake, MN 55767, USA",46.4506336,-92.7653248,"ChIJL8QKo3vosVIRtpeh5Z399sM"
"550 MN-65, Mora, MN 55051, USA",45.8711256,-93.290136,"ChIJrzPjIPLJs1IRq7B-PBgJLLc"
"24 Atlantic Ave, Morris, MN 56267, USA",45.5826612,-95.910372,"ChIJL0vcgXKty1IRZoW9dZCrk6s"
"264 US-10, Motley, MN 56466, USA",46.3348786,-94.6461,"EiAyNjQgVVMtMTAsIE1vdGxleSwgTU4gNTY0NjYsIFVTQSIbEhkKFAoSCV95wNA8YrZSEczVvR5ympU5EIgC"
"409 Old Hwy 8 NW, New Brighton, MN 55112, USA",45.0560685,-93.197617,"ChIJ1TAKpM8us1IR3ldfJ0piqfY"
"2200 Silver Lake Rd NW, New Brighton, MN 55112, USA",45.0864233,-93.2194851,"ChIJjzXSw2wvs1IRFXKHLuSjRPw"
"409 4th Ave SW, New Prague, MN 56071, USA",44.5398249,-93.5836816,"ChIJoXTtoNdx9ocRtuANRQ21G24"
"1501 N Broadway St, New Ulm, MN 56073, USA",44.3272943,-94.4747254,"ChIJLdjlivMB9YcRpmAF7G3_hpU"
"25312 Main St, Nisswa, MN 56468, USA",46.5185225,-94.2873101,"ChIJ-STRjRvCtlIRGOz0eRfYDHA"
"38729 14th Ave, North Branch, MN 55056, USA",45.5096964,-92.9904457,"ChIJpQrkX2H3slIR44Hn2vAGIW8"
"2730 16th Ave E, North St Paul, MN 55109, USA",45.0201151,-92.9851331,"ChIJ97gZF8vTslIRfvHdY25KEbg"
